query_id,q_type,exec_n,exec_time
1,single_bgps,0,0.02439403533935547
1,single_bgps,1,0.011268377304077148
1,single_bgps,2,0.01059579849243164
1,single_bgps,3,0.01063227653503418
2,single_bgps,0,0.5041353702545166
2,single_bgps,1,0.014827489852905273
2,single_bgps,2,0.012404441833496094
2,single_bgps,3,0.010921239852905273
3,single_bgps,0,0.007619380950927734
3,single_bgps,1,0.004112720489501953
3,single_bgps,2,0.003957986831665039
3,single_bgps,3,0.0036497116088867188
4,single_bgps,0,0.03713726997375488
4,single_bgps,1,0.003815889358520508
4,single_bgps,2,0.0032427310943603516
4,single_bgps,3,0.003007173538208008
5,single_bgps,0,0.1563727855682373
5,single_bgps,1,0.005303621292114258
5,single_bgps,2,0.0043904781341552734
5,single_bgps,3,0.0039823055267333984
6,single_bgps,0,0.007328033447265625
6,single_bgps,1,0.00614619255065918
6,single_bgps,2,0.0069010257720947266
6,single_bgps,3,0.006450176239013672
7,single_bgps,0,0.47257208824157715
7,single_bgps,1,0.021939754486083984
7,single_bgps,2,0.01973557472229004
7,single_bgps,3,0.020914793014526367
8,single_bgps,0,0.005235433578491211
8,single_bgps,1,0.0039386749267578125
8,single_bgps,2,0.00394892692565918
8,single_bgps,3,0.003865957260131836
9,single_bgps,0,0.005444049835205078
9,single_bgps,1,0.004639863967895508
9,single_bgps,2,0.004185199737548828
9,single_bgps,3,0.004033565521240234
10,single_bgps,0,0.004874706268310547
10,single_bgps,1,0.004002571105957031
10,single_bgps,2,0.004014730453491211
10,single_bgps,3,0.003949880599975586
11,single_bgps,0,0.06038689613342285
11,single_bgps,1,0.0044019222259521484
11,single_bgps,2,0.003942251205444336
11,single_bgps,3,0.0039975643157958984
12,single_bgps,0,0.06157732009887695
12,single_bgps,1,0.0040857791900634766
12,single_bgps,2,0.0038106441497802734
12,single_bgps,3,0.003522634506225586
13,single_bgps,0,0.00457310676574707
13,single_bgps,1,0.003401041030883789
13,single_bgps,2,0.004227399826049805
13,single_bgps,3,0.004300832748413086
14,single_bgps,0,0.17507314682006836
14,single_bgps,1,0.01160430908203125
14,single_bgps,2,0.009068012237548828
14,single_bgps,3,0.00856328010559082
15,single_bgps,0,0.051082611083984375
15,single_bgps,1,0.004091501235961914
15,single_bgps,2,0.003360748291015625
15,single_bgps,3,0.0033855438232421875
16,single_bgps,0,0.1584029197692871
16,single_bgps,1,0.010727882385253906
16,single_bgps,2,0.008437156677246094
16,single_bgps,3,0.007161855697631836
17,single_bgps,0,0.0050013065338134766
17,single_bgps,1,0.003815889358520508
17,single_bgps,2,0.003609895706176758
17,single_bgps,3,0.005543231964111328
18,single_bgps,0,0.8520092964172363
18,single_bgps,1,0.02510213851928711
18,single_bgps,2,0.022429704666137695
18,single_bgps,3,0.02153801918029785
19,single_bgps,0,0.0060329437255859375
19,single_bgps,1,0.0033092498779296875
19,single_bgps,2,0.003093242645263672
19,single_bgps,3,0.002992868423461914
20,single_bgps,0,0.007895231246948242
20,single_bgps,1,0.003555774688720703
20,single_bgps,2,0.0034110546112060547
20,single_bgps,3,0.003581523895263672
21,single_bgps,0,0.07817983627319336
21,single_bgps,1,0.0067138671875
21,single_bgps,2,0.004874467849731445
21,single_bgps,3,0.004726409912109375
22,single_bgps,0,0.2811405658721924
22,single_bgps,1,0.017146587371826172
22,single_bgps,2,0.015764951705932617
22,single_bgps,3,0.014085054397583008
23,single_bgps,0,0.5744054317474365
23,single_bgps,1,0.02063298225402832
23,single_bgps,2,0.01887059211730957
23,single_bgps,3,0.016685009002685547
24,single_bgps,0,0.06252861022949219
24,single_bgps,1,0.004533290863037109
24,single_bgps,2,0.004192352294921875
24,single_bgps,3,0.0038611888885498047
25,single_bgps,0,0.010894060134887695
25,single_bgps,1,0.004098176956176758
25,single_bgps,2,0.004029989242553711
25,single_bgps,3,0.0038559436798095703
26,single_bgps,0,0.005598545074462891
26,single_bgps,1,0.004098176956176758
26,single_bgps,2,0.00405430793762207
26,single_bgps,3,0.003549337387084961
27,single_bgps,0,0.004633665084838867
27,single_bgps,1,0.0038275718688964844
27,single_bgps,2,0.0036652088165283203
27,single_bgps,3,0.003633737564086914
28,single_bgps,0,0.0043718814849853516
28,single_bgps,1,0.004012584686279297
28,single_bgps,2,0.003912210464477539
28,single_bgps,3,0.003769397735595703
29,single_bgps,0,0.007090330123901367
29,single_bgps,1,0.003510713577270508
29,single_bgps,2,0.0036478042602539062
29,single_bgps,3,0.003381967544555664
30,single_bgps,0,0.004564762115478516
30,single_bgps,1,0.0034971237182617188
30,single_bgps,2,0.0036389827728271484
