query_id,q_type,exec_n,exec_time
1,single_bgps,0,0.0720365047454834
1,single_bgps,1,0.01703667640686035
1,single_bgps,2,0.01521444320678711
1,single_bgps,3,0.01851201057434082
2,single_bgps,0,0.03798484802246094
2,single_bgps,1,0.012099027633666992
2,single_bgps,2,0.01709771156311035
2,single_bgps,3,0.015431404113769531
3,single_bgps,0,0.008171558380126953
3,single_bgps,1,0.004065036773681641
3,single_bgps,2,0.004788398742675781
3,single_bgps,3,0.005536317825317383
4,single_bgps,0,0.013708353042602539
4,single_bgps,1,0.005664348602294922
4,single_bgps,2,0.004773855209350586
4,single_bgps,3,0.004526376724243164
5,single_bgps,0,0.0181581974029541
5,single_bgps,1,0.008185625076293945
5,single_bgps,2,0.006161212921142578
5,single_bgps,3,0.005441904067993164
6,single_bgps,0,0.011472940444946289
6,single_bgps,1,0.011544466018676758
6,single_bgps,2,0.007235527038574219
6,single_bgps,3,0.011657953262329102
7,single_bgps,0,0.033030033111572266
7,single_bgps,1,0.0186917781829834
7,single_bgps,2,0.021022796630859375
7,single_bgps,3,0.0204927921295166
8,single_bgps,0,0.008186101913452148
8,single_bgps,1,0.004808664321899414
8,single_bgps,2,0.004515409469604492
8,single_bgps,3,0.004454851150512695
9,single_bgps,0,0.010950803756713867
9,single_bgps,1,0.004016876220703125
9,single_bgps,2,0.003056764602661133
9,single_bgps,3,0.002814769744873047
10,single_bgps,0,0.004588127136230469
10,single_bgps,1,0.003137350082397461
10,single_bgps,2,0.003782033920288086
10,single_bgps,3,0.004174470901489258
11,single_bgps,0,0.0051076412200927734
11,single_bgps,1,0.0031061172485351562
11,single_bgps,2,0.003008604049682617
11,single_bgps,3,0.0028052330017089844
12,single_bgps,0,0.004919767379760742
12,single_bgps,1,0.0028963088989257812
12,single_bgps,2,0.0025091171264648438
12,single_bgps,3,0.0026133060455322266
13,single_bgps,0,0.004365205764770508
13,single_bgps,1,0.003995656967163086
13,single_bgps,2,0.002834796905517578
13,single_bgps,3,0.0030481815338134766
14,single_bgps,0,0.015332937240600586
14,single_bgps,1,0.009110689163208008
14,single_bgps,2,0.008503913879394531
14,single_bgps,3,0.0070972442626953125
15,single_bgps,0,0.006175518035888672
15,single_bgps,1,0.0037424564361572266
15,single_bgps,2,0.002965688705444336
15,single_bgps,3,0.0028176307678222656
16,single_bgps,0,0.010278940200805664
16,single_bgps,1,0.007806062698364258
16,single_bgps,2,0.006947040557861328
16,single_bgps,3,0.00579524040222168
17,single_bgps,0,0.0061571598052978516
17,single_bgps,1,0.0034165382385253906
17,single_bgps,2,0.002885103225708008
17,single_bgps,3,0.0039675235748291016
18,single_bgps,0,0.03787088394165039
18,single_bgps,1,0.02915501594543457
18,single_bgps,2,0.028393030166625977
18,single_bgps,3,0.024827003479003906
19,single_bgps,0,0.0055310726165771484
19,single_bgps,1,0.0046443939208984375
19,single_bgps,2,0.0048215389251708984
19,single_bgps,3,0.004693508148193359
20,single_bgps,0,0.008651256561279297
20,single_bgps,1,0.004392862319946289
20,single_bgps,2,0.004801511764526367
20,single_bgps,3,0.004830837249755859
21,single_bgps,0,0.008937835693359375
21,single_bgps,1,0.004990339279174805
21,single_bgps,2,0.0045032501220703125
21,single_bgps,3,0.004161357879638672
22,single_bgps,0,0.01969122886657715
22,single_bgps,1,0.01638650894165039
22,single_bgps,2,0.015136241912841797
22,single_bgps,3,0.014661788940429688
23,single_bgps,0,0.02614307403564453
23,single_bgps,1,0.01816844940185547
23,single_bgps,2,0.01739048957824707
23,single_bgps,3,0.017217159271240234
24,single_bgps,0,0.009799957275390625
24,single_bgps,1,0.004346132278442383
24,single_bgps,2,0.0031168460845947266
24,single_bgps,3,0.003101825714111328
25,single_bgps,0,0.009296417236328125
25,single_bgps,1,0.0038886070251464844
25,single_bgps,2,0.003141641616821289
25,single_bgps,3,0.0027146339416503906
26,single_bgps,0,0.004032135009765625
26,single_bgps,1,0.003165006637573242
26,single_bgps,2,0.002915620803833008
26,single_bgps,3,0.003130197525024414
27,single_bgps,0,0.006615161895751953
27,single_bgps,1,0.0041277408599853516
27,single_bgps,2,0.004062652587890625
27,single_bgps,3,0.004382133483886719
28,single_bgps,0,0.005652427673339844
28,single_bgps,1,0.00400090217590332
28,single_bgps,2,0.003991365432739258
28,single_bgps,3,0.0036606788635253906
29,single_bgps,0,0.006112575531005859
29,single_bgps,1,0.003980875015258789
29,single_bgps,2,0.004000425338745117
29,single_bgps,3,0.00401616096496582
30,single_bgps,0,0.006555080413818359
30,single_bgps,1,0.003582477569580078
30,single_bgps,2,0.003422260284423828
30,single_bgps,3,0.0035042762756347656
31,single_bgps,0,0.0064775943756103516
31,single_bgps,1,0.004662275314331055
31,single_bgps,2,0.0046384334564208984
31,single_bgps,3,0.0043392181396484375
32,single_bgps,0,0.06494545936584473
32,single_bgps,1,0.037508249282836914
32,single_bgps,2,0.0371394157409668
32,single_bgps,3,0.039391517639160156
33,single_bgps,0,0.0075855255126953125
33,single_bgps,1,0.005473136901855469
33,single_bgps,2,0.003877401351928711
33,single_bgps,3,0.0034685134887695312
34,single_bgps,0,0.006078958511352539
34,single_bgps,1,0.004629850387573242
34,single_bgps,2,0.004033565521240234
34,single_bgps,3,0.005488395690917969
35,single_bgps,0,0.026217222213745117
35,single_bgps,1,0.01894092559814453
35,single_bgps,2,0.01813197135925293
35,single_bgps,3,0.01838517189025879
36,single_bgps,0,0.00654911994934082
36,single_bgps,1,0.0045702457427978516
36,single_bgps,2,0.004835844039916992
36,single_bgps,3,0.004019260406494141
37,single_bgps,0,0.010204792022705078
37,single_bgps,1,0.0059299468994140625
37,single_bgps,2,0.0046234130859375
37,single_bgps,3,0.0040547847747802734
38,single_bgps,0,0.0040435791015625
38,single_bgps,1,0.003156900405883789
38,single_bgps,2,0.0031099319458007812
38,single_bgps,3,0.003064870834350586
39,single_bgps,0,0.0035247802734375
