query_id,q_type,exec_n,exec_time
1,single_bgps,0,0.0291140079498291
1,single_bgps,1,0.012309551239013672
1,single_bgps,2,0.011943578720092773
1,single_bgps,3,0.011510133743286133
2,single_bgps,0,0.010779142379760742
2,single_bgps,1,0.009280204772949219
2,single_bgps,2,0.008946895599365234
2,single_bgps,3,0.008752107620239258
3,single_bgps,0,0.003640413284301758
3,single_bgps,1,0.0030999183654785156
3,single_bgps,2,0.0029571056365966797
3,single_bgps,3,0.0031280517578125
4,single_bgps,0,0.0030434131622314453
4,single_bgps,1,0.0029528141021728516
4,single_bgps,2,0.003043651580810547
4,single_bgps,3,0.003027200698852539
5,single_bgps,0,0.004247903823852539
5,single_bgps,1,0.0038759708404541016
5,single_bgps,2,0.003799915313720703
5,single_bgps,3,0.003575563430786133
6,single_bgps,0,0.006508588790893555
6,single_bgps,1,0.005995035171508789
6,single_bgps,2,0.006088972091674805
6,single_bgps,3,0.005857706069946289
7,single_bgps,0,0.016752004623413086
7,single_bgps,1,0.01512908935546875
7,single_bgps,2,0.015086174011230469
7,single_bgps,3,0.01482081413269043
8,single_bgps,0,0.0035381317138671875
8,single_bgps,1,0.0030219554901123047
8,single_bgps,2,0.0031137466430664062
8,single_bgps,3,0.0031232833862304688
9,single_bgps,0,0.0032858848571777344
9,single_bgps,1,0.0031239986419677734
9,single_bgps,2,0.002867460250854492
9,single_bgps,3,0.0029528141021728516
10,single_bgps,0,0.0033860206604003906
10,single_bgps,1,0.00324249267578125
10,single_bgps,2,0.0030684471130371094
10,single_bgps,3,0.003022909164428711
11,single_bgps,0,0.0032396316528320312
11,single_bgps,1,0.002917766571044922
11,single_bgps,2,0.002926349639892578
11,single_bgps,3,0.0030374526977539062
12,single_bgps,0,0.0035490989685058594
12,single_bgps,1,0.003244638442993164
12,single_bgps,2,0.0031757354736328125
12,single_bgps,3,0.0029397010803222656
13,single_bgps,0,0.003177165985107422
13,single_bgps,1,0.0032989978790283203
13,single_bgps,2,0.003833293914794922
13,single_bgps,3,0.004065752029418945
14,single_bgps,0,0.010215044021606445
14,single_bgps,1,0.008009195327758789
14,single_bgps,2,0.006993770599365234
14,single_bgps,3,0.006685495376586914
15,single_bgps,0,0.0031282901763916016
15,single_bgps,1,0.003327608108520508
15,single_bgps,2,0.0027425289154052734
15,single_bgps,3,0.0024862289428710938
16,single_bgps,0,0.005765199661254883
16,single_bgps,1,0.0054967403411865234
16,single_bgps,2,0.005387306213378906
16,single_bgps,3,0.00519871711730957
17,single_bgps,0,0.0035409927368164062
17,single_bgps,1,0.002803802490234375
17,single_bgps,2,0.0026121139526367188
17,single_bgps,3,0.0027081966400146484
18,single_bgps,0,0.024811744689941406
18,single_bgps,1,0.02280879020690918
18,single_bgps,2,0.02253246307373047
18,single_bgps,3,0.02242565155029297
19,single_bgps,0,0.0037381649017333984
19,single_bgps,1,0.003281116485595703
19,single_bgps,2,0.0028269290924072266
19,single_bgps,3,0.002786874771118164
20,single_bgps,0,0.0029692649841308594
20,single_bgps,1,0.002896547317504883
20,single_bgps,2,0.002686023712158203
20,single_bgps,3,0.002553701400756836
21,single_bgps,0,0.003475189208984375
21,single_bgps,1,0.0032749176025390625
21,single_bgps,2,0.0030815601348876953
21,single_bgps,3,0.003354310989379883
22,single_bgps,0,0.016333341598510742
22,single_bgps,1,0.013944387435913086
22,single_bgps,2,0.013508796691894531
22,single_bgps,3,0.013296127319335938
23,single_bgps,0,0.016887903213500977
23,single_bgps,1,0.015905141830444336
23,single_bgps,2,0.015514612197875977
23,single_bgps,3,0.016209125518798828
24,single_bgps,0,0.0036547183990478516
24,single_bgps,1,0.0030829906463623047
24,single_bgps,2,0.0030121803283691406
24,single_bgps,3,0.00275421142578125
25,single_bgps,0,0.0025026798248291016
25,single_bgps,1,0.0026259422302246094
25,single_bgps,2,0.0027701854705810547
25,single_bgps,3,0.0027031898498535156
26,single_bgps,0,0.0032050609588623047
26,single_bgps,1,0.0028526782989501953
26,single_bgps,2,0.002736330032348633
26,single_bgps,3,0.0026137828826904297
27,single_bgps,0,0.0027778148651123047
27,single_bgps,1,0.002582550048828125
27,single_bgps,2,0.0027627944946289062
27,single_bgps,3,0.0026619434356689453
28,single_bgps,0,0.0030455589294433594
28,single_bgps,1,0.0028171539306640625
28,single_bgps,2,0.002763509750366211
28,single_bgps,3,0.0031311511993408203
29,single_bgps,0,0.0028710365295410156
29,single_bgps,1,0.0027687549591064453
29,single_bgps,2,0.002811431884765625
29,single_bgps,3,0.002801656723022461
30,single_bgps,0,0.002824544906616211
