,query_id,exec_n,exec_time,results
0,P365,0,0.03757119178771973,
1,P365,1,0.008669376373291016,
2,P365,2,0.006482124328613281,
3,P365,3,0.004402875900268555,
4,P376,0,0.0069582462310791016,
5,P376,1,0.005012989044189453,
6,P376,2,0.004900693893432617,
7,P376,3,0.005249500274658203,
8,P239,0,5.6947197914123535,
9,P239,1,4.496201515197754,
10,P239,2,4.596343755722046,
11,P239,3,4.541762113571167,
12,P295,0,0.0062999725341796875,
13,P295,1,0.004175424575805664,
14,P295,2,0.0036504268646240234,
15,P295,3,0.003714323043823242,
16,P304,0,0.004147052764892578,
17,P304,1,0.0036878585815429688,
18,P304,2,0.0036182403564453125,
19,P304,3,0.0035636425018310547,
20,P355,0,0.00473785400390625,
21,P355,1,0.0035092830657958984,
22,P355,2,0.0032587051391601562,
23,P355,3,0.003228425979614258,
24,P385,0,0.03144526481628418,
25,P385,1,0.024887800216674805,
26,P385,2,0.02990412712097168,
27,P385,3,0.024381637573242188,
28,P206,0,0.009467840194702148,
29,P206,1,0.005689859390258789,
30,P206,2,0.0045239925384521484,
31,P206,3,0.0041964054107666016,
32,P335,0,7.524393558502197,
33,P335,1,10.245217561721802,
34,P335,2,7.423094034194946,
35,P335,3,8.152369499206543,
36,P367,0,0.007306337356567383,
37,P367,1,0.004350185394287109,
38,P367,2,0.0069043636322021484,
39,P367,3,0.005375862121582031,
40,P378,0,0.008282661437988281,
41,P378,1,0.005688667297363281,
42,P378,2,0.004745006561279297,
43,P378,3,0.004620075225830078,
44,P298,0,0.01952195167541504,
45,P298,1,0.009373188018798828,
46,P298,2,0.008178472518920898,
47,P298,3,0.00780487060546875,
48,P358,0,0.06525540351867676,
49,P358,1,0.04638028144836426,
50,P358,2,0.04538726806640625,
51,P358,3,0.05038952827453613,
52,P348,0,0.0063288211822509766,
53,P348,1,0.004177570343017578,
54,P348,2,0.003645658493041992,
55,P348,3,0.003843069076538086,
56,P277,0,0.021974563598632812,
57,P277,1,0.012271642684936523,
58,P277,2,0.011257171630859375,
59,P277,3,0.01118612289428711,
60,P222,0,0.06894826889038086,
61,P222,1,0.04608726501464844,
62,P222,2,0.0421750545501709,
63,P222,3,0.041990041732788086,
64,P249,0,0.005323648452758789,
65,P249,1,0.004112958908081055,
66,P249,2,0.0036318302154541016,
67,P249,3,0.003328084945678711,
68,P253,0,0.009880781173706055,
69,P253,1,0.005865335464477539,
70,P253,2,0.005293846130371094,
71,P253,3,0.005384206771850586,
72,P349,0,0.004975557327270508,
73,P349,1,0.003712177276611328,
74,P349,2,0.0034406185150146484,
75,P349,3,0.0034530162811279297,
76,P269,0,2.605830192565918,
77,P269,1,2.575843334197998,
78,P269,2,2.551128625869751,
79,P269,3,2.6072793006896973,
80,P313,0,3.391482353210449,
81,P313,1,3.3176536560058594,
82,P313,2,3.3014938831329346,
83,P313,3,3.334897994995117,
84,P212,0,0.01840353012084961,
85,P212,1,0.014880657196044922,
86,P212,2,0.014827728271484375,
87,P212,3,0.015495777130126953,
88,P375,0,0.018424510955810547,
89,P375,1,0.011158943176269531,
90,P375,2,0.010498523712158203,
91,P375,3,0.01054072380065918,
92,P271,0,0.006837129592895508,
93,P271,1,0.004794597625732422,
94,P271,2,0.003594636917114258,
95,P271,3,0.0036003589630126953,
96,P188,0,0.5290195941925049,
97,P188,1,0.4898374080657959,
98,P188,2,0.48946332931518555,
99,P188,3,0.48850584030151367,
100,P334,0,0.005638837814331055,
101,P334,1,0.003958225250244141,
102,P334,2,0.0034160614013671875,
103,P334,3,0.0030090808868408203,
104,P248,0,20.59445095062256,
105,P248,1,23.221901655197144,
106,P248,2,19.433662176132202,
107,P248,3,20.451144456863403,
108,P270,0,0.04084300994873047,
109,P270,1,0.00423121452331543,
110,P270,2,0.0039179325103759766,
111,P270,3,0.0034842491149902344,
112,P204,0,0.5687825679779053,
113,P204,1,0.06307864189147949,
114,P204,2,0.06162595748901367,
115,P204,3,0.06247520446777344,
116,P381,0,0.005345582962036133,
117,P381,1,0.004300832748413086,
118,P381,2,0.0039713382720947266,
119,P381,3,0.003988504409790039,
120,P287,0,3.0346195697784424,
121,P287,1,2.992246389389038,
122,P287,2,2.96444034576416,
123,P287,3,2.968855619430542,
124,P290,0,1.384228229522705,
125,P290,1,1.3481090068817139,
126,P290,2,1.3584997653961182,
127,P290,3,1.3685359954833984,
128,P281,0,0.01622176170349121,
129,P281,1,0.0044095516204833984,
130,P281,2,0.004065752029418945,
131,P281,3,0.0035164356231689453,
132,P266,0,0.006442070007324219,
133,P266,1,0.005198240280151367,
134,P266,2,0.004665374755859375,
135,P266,3,0.004845380783081055,
136,P256,0,0.2575395107269287,
137,P256,1,0.2411332130432129,
138,P256,2,0.23949170112609863,
139,P256,3,0.2350623607635498,
140,P259,0,0.0055005550384521484,
141,P259,1,0.004226207733154297,
142,P259,2,0.0036957263946533203,
143,P259,3,0.0033681392669677734,
144,P300,0,0.00467371940612793,
145,P300,1,0.0033540725708007812,
146,P300,2,0.0030972957611083984,
147,P300,3,0.002920866012573242,
148,P309,0,0.006261348724365234,
149,P309,1,0.005185365676879883,
150,P309,2,0.004710197448730469,
151,P309,3,0.004721879959106445,
152,P252,0,0.008982419967651367,
153,P252,1,0.0062558650970458984,
154,P252,2,0.005871772766113281,
155,P252,3,0.004805326461791992,
156,P257,0,0.01782703399658203,
157,P257,1,0.015392303466796875,
158,P257,2,0.015510320663452148,
159,P257,3,0.015452146530151367,
160,P278,0,0.4906005859375,
161,P278,1,0.48533034324645996,
162,P278,2,0.48430395126342773,
163,P278,3,0.48503947257995605,
164,P329,0,0.04520249366760254,
165,P329,1,0.0054705142974853516,
166,P329,2,0.004399538040161133,
167,P329,3,0.004549980163574219,
168,P250,0,0.00967264175415039,
169,P250,1,0.005943775177001953,
170,P250,2,0.0056493282318115234,
171,P250,3,0.004697561264038086,
172,P325,0,0.010590553283691406,
173,P325,1,0.00764155387878418,
174,P325,2,0.005568027496337891,
175,P325,3,0.004768848419189453,
176,P310,0,3.3867413997650146,
177,P310,1,3.2280313968658447,
178,P310,2,3.210721015930176,
179,P310,3,3.1656455993652344,
180,P197,0,0.12941241264343262,
181,P197,1,0.11548137664794922,
182,P197,2,0.11486697196960449,
183,P197,3,0.11598801612854004,
184,P183,0,0.005639314651489258,
185,P183,1,0.0037419795989990234,
186,P183,2,0.0036039352416992188,
187,P183,3,0.0032117366790771484,
188,P307,0,0.013094425201416016,
189,P307,1,0.012099027633666992,
190,P307,2,0.011762857437133789,
191,P307,3,0.011274337768554688,
192,P327,0,0.004734516143798828,
193,P327,1,0.003529787063598633,
194,P327,2,0.0033218860626220703,
195,P327,3,0.00503993034362793,
196,P284,0,0.009136438369750977,
197,P284,1,0.006676912307739258,
198,P284,2,0.0052487850189208984,
199,P284,3,0.004273653030395508,
200,P229,0,0.031014442443847656,
201,P229,1,0.02776169776916504,
202,P229,2,0.027556180953979492,
203,P229,3,0.026178598403930664,
204,P370,0,0.03394937515258789,
205,P370,1,0.02243494987487793,
206,P370,2,0.02204751968383789,
207,P370,3,0.022414684295654297,
208,P260,0,0.008183002471923828,
209,P260,1,0.004639863967895508,
210,P260,2,0.003834247589111328,
211,P260,3,0.0033779144287109375,
212,P182,0,0.024480581283569336,
213,P182,1,0.019575119018554688,
214,P182,2,0.01961207389831543,
215,P182,3,0.019707679748535156,
216,P303,0,0.005018472671508789,
217,P303,1,0.003015279769897461,
218,P303,2,0.0029125213623046875,
219,P303,3,0.0030808448791503906,
220,P371,0,4.2087485790252686,
221,P371,1,4.313774347305298,
222,P371,2,4.211178779602051,
223,P371,3,4.424868106842041,
224,P210,0,0.016956329345703125,
225,P210,1,0.004412174224853516,
226,P210,2,0.0035190582275390625,
227,P210,3,0.003282308578491211,
228,P186,0,0.9088559150695801,
229,P186,1,0.914069414138794,
230,P186,2,0.8684296607971191,
231,P186,3,0.8701770305633545,
232,P336,0,0.03031325340270996,
233,P336,1,0.018869638442993164,
234,P336,2,0.018318891525268555,
235,P336,3,0.017861127853393555,
236,P241,0,35.55250334739685,
237,P241,1,34.065495014190674,
238,P241,2,32.29639410972595,
239,P241,3,33.26493430137634,
240,P318,0,0.1486365795135498,
241,P318,1,0.1031944751739502,
242,P318,2,0.10318779945373535,
243,P318,3,0.09871292114257812,
244,P258,0,0.04750847816467285,
245,P258,1,0.03665900230407715,
246,P258,2,0.03783869743347168,
247,P258,3,0.03660082817077637,
248,P351,0,0.1182253360748291,
249,P351,1,0.11666488647460938,
250,P351,2,0.11714529991149902,
251,P351,3,0.11732196807861328,
252,P228,0,0.005602121353149414,
253,P228,1,0.0037751197814941406,
254,P228,2,0.003709554672241211,
255,P228,3,0.004081010818481445,
256,P308,0,0.057686567306518555,
257,P308,1,0.04711771011352539,
258,P308,2,0.047048330307006836,
259,P308,3,0.04698061943054199,
260,P207,0,0.05358600616455078,
261,P207,1,0.039359331130981445,
262,P207,2,0.03993725776672363,
263,P207,3,0.04037356376647949,
264,P373,0,0.005742788314819336,
265,P373,1,0.004213571548461914,
266,P373,2,0.003885984420776367,
267,P373,3,0.0037300586700439453,
268,P317,0,0.02405238151550293,
269,P317,1,0.013928890228271484,
270,P317,2,0.013455390930175781,
271,P317,3,0.013414859771728516,
272,P190,0,0.05232810974121094,
273,P190,1,0.03811454772949219,
274,P190,2,0.03870368003845215,
275,P190,3,0.03617358207702637,
276,P401,0,0.42165398597717285,
277,P401,1,0.4039320945739746,
278,P401,2,0.35479164123535156,
279,P401,3,0.40369272232055664,
280,P218,0,3.605376720428467,
281,P218,1,3.5706350803375244,
282,P218,2,3.5264995098114014,
283,P218,3,3.5499753952026367,
284,P289,0,1.4248623847961426,
285,P289,1,1.4045662879943848,
286,P289,2,1.4151337146759033,
287,P289,3,1.3939087390899658,
288,P326,0,0.27506422996520996,
289,P326,1,0.25562095642089844,
290,P326,2,0.26738953590393066,
291,P326,3,0.2696068286895752,
292,P344,0,0.009001016616821289,
293,P344,1,0.005873918533325195,
294,P344,2,0.005203962326049805,
295,P344,3,0.004145145416259766,
296,P224,0,0.7480130195617676,
297,P224,1,0.08556008338928223,
298,P224,2,0.07977461814880371,
299,P224,3,0.08251452445983887,
300,P362,0,1.6512057781219482,
301,P362,1,1.6383705139160156,
302,P362,2,1.6630964279174805,
303,P362,3,1.5651564598083496,
304,P215,0,0.018994808197021484,
305,P215,1,0.01679515838623047,
306,P215,2,0.016342878341674805,
307,P215,3,0.016636371612548828,
308,P220,0,0.0051746368408203125,
309,P220,1,0.0033936500549316406,
310,P220,2,0.0035011768341064453,
311,P220,3,0.003543853759765625,
312,P234,0,20.810052394866943,
313,P234,1,20.64265489578247,
314,P234,2,20.542518854141235,
315,P234,3,20.618969202041626,
